code	rand-number
si11	8
si12	11
si13	14
si14	17
si15	20
si21	23
si22	26
si23	29
si24	32
si25	35
si31	38
si32	41
si33	44
si34	47
si35	50
si41	53
si42	56
si43	59
si44	62
si45	65
si51	68
si52	71
si53	74
si54	77
si55	80
sa11	83
sa12	86
sa13	89
sa14	92
sa15	95
sa21	98
sa22	101
sa23	104
sa24	107
sa25	110
sa31	113
sa32	116
sa33	119
sa34	122
sa35	125
sa41	128
sa42	131
sa43	134
sa44	137
sa45	140
sa51	143
sa52	146
sa53	149
sa54	152
sa55	155
mi11	158
mi12	161
mi13	164
mi14	167
mi15	170
mi21	173
mi22	176
mi23	179
mi24	182
mi25	185
mi31	188
mi32	191
mi33	194
mi34	197
mi35	200
mi41	203
mi42	206
mi43	209
mi44	212
mi45	215
mi51	218
mi52	221
mi53	224
mi54	227
mi55	230
ma11	233
ma12	236
ma13	239
ma14	242
ma15	245
ma21	248
ma22	251
ma23	254
ma24	257
ma25	260
ma31	263
ma32	266
ma33	269
ma34	272
ma35	275
ma41	278
ma42	281
ma43	284
ma44	287
ma45	290
ma51	293
ma52	296
ma53	299
ma54	302
ma55	305
