tmin	condition	text	tmax	duration	maxF0	meanF0	meanF0st	medianF0	minF0	sdF0	midpointF0	slopeF0	maxInt	meanInt	medianInt	minInt	sdInt	midpointInt	medianF1	medianF1Bark	medianF2	medianF2Bark	medianF3	medianF3Bark	SPLH.SPL	file	subject
3,24441	si23	p	3,291013	0,046603	252,8813269863	252,8813269863	95,7878004077	NA	252,8813269863	NA	NA	NA	84,0350133223	77,8583174868	73,5371346188	72,1417459484	4,8897204832	73,4130007287	1531,2011983676	11,1384535266	2081,437290894	13,1636604909	NA	NA	0,4095413308	id1_part1.csv	1
3,291013	si23	I	3,398809	0,107796	300,0564008179	282,4337290459	97,6712506377	288,7726181223	257,4350609416	17,7031981407	288,7221533348	589,7220354709	90,939507605	89,9067920672	90,6258983082	84,5802094881	2,0271763874	90,7935445322	523,3432618919	5,1567211343	1919,3119740226	12,6238452384	NA	NA	0,5960343622	id1_part1.csv	1
3,398809	si23	f	3,62	0,221191	NA	292,9332710179	98,3331263915	292,7044610635	NA	NA	NA	NA	78,8468184453	72,0654105671	68,5162043739	63,2282590954	3,9617060594	68,5255116182	972,7514931124	8,3498873235	1929,070042699	12,6533584891	NA	NA	0,4728027711	id1_part1.csv	1
6,622901	si44	p	6,65552	0,032619	256,0718759602	256,2730443126	96,0182794788	256,0718759602	256,0718759602	NA	NA	NA	81,229343267	79,3085900332	76,9757735941	74,9273775519	3,2151855388	76,9904332371	1188,925172779	9,5484938078	2054,3456995847	13,0761617625	NA	NA	0,5591881572	id1_part1.csv	1
6,65552	si44	I	6,756836	0,101316	298,699083986	285,4955627239	97,8674199502	292,3341976455	262,1583013133	14,816556098	293,1522277443	597,1897437106	90,6113705314	89,4052403044	89,8742509946	82,2967135636	2,7114312294	90,5530503794	584,2697664882	5,6560978817	1813,5650400158	12,2480339887	NA	NA	0,5382753668	id1_part1.csv	1
6,756836	si44	f	6,97	0,213164	290,732003472	290,6264956485	98,1962651613	290,5774678148	290,732003472	NA	NA	NA	75,8771680963	70,3901450914	66,8388133794	55,4017202554	5,6962781166	67,0274153113	1234,7966570045	9,7849348539	2072,8072038112	13,1358855312	NA	NA	0,3750058362	id1_part1.csv	1
9,84486	si11	p	9,89785	0,05299	270,5371955187	272,0972956408	97,0519862917	270,453705248	270,453705248	NA	NA	1473,2987613677	82,6645797388	79,0981781635	76,4777280464	75,3162886969	2,9556076898	76,1008569391	1511,5984385451	11,0628647352	2040,7175272485	13,0317434539	NA	NA	0,680109172	id1_part1.csv	1
9,89785	si11	I	10,000967	0,103117	286,2177821282	180,3331457085	89,4406897743	161,0612920864	135,0599915713	52,5899576442	161,1446086518	-7177,7086622656	91,8946985045	90,3910292601	90,8852674524	83,0109017189	2,8845869155	91,8684814596	460,5046056537	4,6171331029	1896,9195643247	12,5460484485	NA	NA	0,5251987183	id1_part1.csv	1
10,000967	si11	f	10,19836	0,197393	NA	158,3498978421	87,6836655168	NA	NA	NA	NA	NA	78,5209978826	73,9144487463	71,6893593963	63,542961799	4,5042610906	71,7706314226	1463,8875499497	10,8570727288	2019,800203884	12,9630187132	NA	NA	0,6326615096	id1_part1.csv	1
13,12672	si35	p	13,171746	0,045026	260,2751125796	259,5328983305	96,2368198736	258,6687547389	258,6687547389	NA	NA	338,2468991085	82,0180906503	77,8398073416	74,2817314495	72,7106203053	4,2249310266	73,0742665742	880,0073442001	7,7760632776	2066,4495429175	13,1153840491	NA	NA	0,434077168	id1_part1.csv	1
