"tmin","condition","text","tmax","duration","maxF0","meanF0","meanF0st","medianF0","minF0","sdF0","midpointF0","slopeF0","maxInt","meanInt","medianInt","minInt","sdInt","midpointInt","medianF1","medianF1Bark","medianF2","medianF2Bark","medianF3","medianF3Bark","SPLH.SPL","file","subject","part","size","v.pos","h.pos","st_maxF0","st_minF0","st_F0range","F1centroid","F2centroid","F1centroidBark","F2centroidBark","vt_expansion","vt_expansionBark","SPLH.SPL.dB","F0range","Fs","hand"
3.24441,"si23","p",3.291013,0.046603,252.8813269863,252.8813269863,95.7878004077,NA,252.8813269863,NA,NA,NA,84.0350133223,77.8583174868,73.5371346188,72.1417459484,4.8897204832,73.4130007287,1531.2011983676,11.1384535266,2081.437290894,13.1636604909,NA,NA,0.4095413308,"id1_part1.csv","1","1","s","2","3",-0.702634528527629,-0.702634528527629,0,600,1800,5.58412494683908,12.4085993651164,972.801429145233,5.60541553103947,-3.8770226281052,0,200,"r"
3.398809,"si23","f",3.62,0.221191,NA,292.9332710179,98.3331263915,292.7044610635,NA,NA,NA,NA,78.8468184453,72.0654105671,68.5162043739,63.2282590954,3.9617060594,68.5255116182,972.7514931124,8.3498873235,1929.070042699,12.6533584891,NA,NA,0.4728027711,"id1_part1.csv","1","1","s","2","3",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,394.465146166103,2.77657136643852,-3.25319986716666,NA,200,"r"
6.622901,"si44","p",6.65552,0.032619,256.0718759602,256.2730443126,96.0182794788,256.0718759602,256.0718759602,NA,NA,NA,81.229343267,79.3085900332,76.9757735941,74.9273775519,3.2151855388,76.9904332371,1188.925172779,9.5484938078,2054.3456995847,13.0761617625,NA,NA,0.5591881572,"id1_part1.csv","1","1","s","4","4",-0.485574911075741,-0.485574911075741,0,600,1800,5.58412494683908,12.4085993651164,641.501826988829,4.02018159044552,-2.52442034896769,0,200,"r"
6.756836,"si44","f",6.97,0.213164,290.732003472,290.6264956485,98.1962651613,290.5774678148,290.732003472,NA,NA,NA,75.8771680963,70.3901450914,66.8388133794,55.4017202554,5.6962781166,67.0274153113,1234.7966570045,9.7849348539,2072.8072038112,13.1358855312,NA,NA,0.3750058362,"id1_part1.csv","1","1","s","4","4",1.71211802779725,1.71211802779725,0,600,1800,5.58412494683908,12.4085993651164,690.934559994921,4.26330259806147,-4.25961973312996,0,200,"r"
9.84486,"si11","p",9.89785,0.05299,270.5371955187,272.0972956408,97.0519862917,270.453705248,270.453705248,NA,NA,1473.2987613677,82.6645797388,79.0981781635,76.4777280464,75.3162886969,2.9556076898,76.1008569391,1511.5984385451,11.0628647352,2040.7175272485,13.0317434539,NA,NA,0.680109172,"id1_part1.csv","1","1","s","1","1",0.46576286603141,0.460419293696114,0.00534357233529575,600,1800,5.58412494683908,12.4085993651164,942.844971924068,5.51406367608817,-1.6742136818848,0.0834902706999969,200,"r"
10.000967,"si11","f",10.19836,0.197393,NA,158.3498978421,87.6836655168,NA,NA,NA,NA,NA,78.5209978826,73.9144487463,71.6893593963,63.542961799,4.5042610906,71.7706314226,1463.8875499497,10.8570727288,2019.800203884,12.9630187132,NA,NA,0.6326615096,"id1_part1.csv","1","1","s","1","1",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,891.411144526219,5.30201462887608,-1.98828586714887,NA,200,"r"
13.12672,"si35","p",13.171746,0.045026,260.2751125796,259.5328983305,96.2368198736,258.6687547389,258.6687547389,NA,NA,338.2468991085,82.0180906503,77.8398073416,74.2817314495,72.7106203053,4.2249310266,73.0742665742,880.0073442001,7.7760632776,2066.4495429175,13.1153840491,NA,NA,0.434077168,"id1_part1.csv","1","1","s","3","5",-0.203712239196599,-0.310891086320402,0.107178847123803,600,1800,5.58412494683908,12.4085993651164,386.522278435458,2.30307147856351,-3.62433056991033,1.60635784069996,200,"r"
13.274533,"si35","f",13.479572,0.205039,NA,294.3768662143,98.4170805227,295.724598349,NA,NA,NA,NA,75.0294504191,69.917517419,67.9231023537,57.411421816,4.5639743578,68.1160067571,1313.9602943416,10.172348661,1974.9544201105,12.8133598789,NA,NA,0.3796846326,"id1_part1.csv","1","1","s","3","5",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,735.083907464002,4.60604254482163,-4.20576980189887,NA,200,"r"
16.15838,"ma25","p",16.199399,0.041019,218.5898581227,218.4545592878,93.2542174576,218.2595180904,218.2595180904,NA,NA,117.8620286026,81.9221395695,78.3670243286,77.2401561231,74.6839541623,3.1830456709,76.815152406,1072.2300468232,8.9246252855,1945.4856579958,12.7137174349,NA,NA,0.6481338385,"id1_part1.csv","1","1","m","2","5",-3.22544306598584,-3.25162582149998,0.0261827555141467,600,1800,5.58412494683908,12.4085993651164,494.132870597689,3.35440599049998,-1.88335303820434,0.330340032300001,200,"r"
16.319209,"ma25","f",16.545546,0.226337,270.7552252215,270.0344510263,96.9238939497,270.2748996096,268.5770865541,1.0677570448,NA,126.8863613331,79.0996034926,70.2292128168,65.9612965438,56.0619752093,5.277084532,65.8496255848,1067.7449383329,8.8997349053,1975.0084445507,12.8137115051,NA,NA,0.2499086596,"id1_part1.csv","1","1","m","2","5",0.479709503787477,0.339874072324907,0.13983543146257,600,1800,5.58412494683908,12.4085993651164,499.412938358733,3.34026724119602,-6.02218694848594,2.17813866739999,200,"r"
