speaker	part	can_size	vertical	horizontal	vowel	start	height	lip_dist_m	F1_m	F2_m	z_F1_m	z_F2_m	lip_dist_s	F1_s	F2_s	z_F1_s	z_F2_s
1	2	large	1	1	a	130.7910857	162	4.9535	767.8096213	1704.291372	0.9707358285	0.2000241484	4.9334	721.1374377	1427.194671	0.5334828465	-1.6058410445
1	1	large	2	1	a	51.54966917	162	5.085	797.4292826	NA	1.2482305636	NA	5.1622	746.1159361	1556.671037	0.7674963867	-0.762031422
1	1	large	3	1	a	109.4606919	162	5.1142	791.7777364	1522.004865	1.1952834924	-0.9879541167	5.0194	716.8681591	1467.612383	0.4934856865	-1.3424350241
1	1	large	4	1	a	70.09848054	162	5.1251	774.0261326	NA	1.0289758313	NA	5.1223	743.723665	1620.888622	0.7450841576	-0.3435193968
1	2	large	5	1	a	60.39846044	162	5.0597	759.0483332	1528.159576	0.8886548318	-0.9478432878	5.1035	791.6054374	1588.277922	1.1936692921	-0.5560463877
1	1	large	1	2	a	97.25159374	162	5.0872	770.7548688	1710.270607	0.9983286718	0.2389913837	5.0751	731.0996407	1493.401604	0.6268147336	-1.1743642517
1	2	large	2	2	a	75.02485529	162	5.1323	853.110884	1535.070455	1.7698891699	-0.9028044411	5.0735	822.3194816	1523.933329	1.4814168621	-0.9753861359
1	1	large	3	2	a	94.45286304	162	5.0884	721.1198355	1535.653389	0.5333179386	-0.8990054056	5.0768	768.331982	1791.223421	0.9756296165	0.7665684662
1	1	large	4	2	a	136.1445567	162	5.0062	803.2614331	1515.155467	1.3028696441	-1.032592286	4.9306	756.6682881	1470.425779	0.8663571432	-1.3240998585
1	2	large	5	2	a	77.41837909	162	4.9163	733.9046482	1526.131476	0.6530937246	-0.9610606058	5.1953	847.041722	NA	1.7130296237	NA
1	1	large	1	3	a	133.22	162	4.9839	776.6236752	1635.56706	1.0533111668	-0.2478586395	5.0724	790.9657959	1532.820462	1.1876767473	-0.9174678565
