subject	condition	file	part	size	v.pos	h.pos	sound.name	text	start	end	duration	overall_dB	min_f0	max_f0	mean_f0	X50_F1	X50_F2	X50_F3	dataset	age	gender	height	hand	monolingual	Fs	x_mg_mean	y_mg_mean	z_mg_mean	x_f_mean	y_f_mean	z_f_mean	x_rw_mean	y_rw_mean	z_rw_mean	x_c7_mean	y_c7_mean	z_c7_mean	samplingRate	TimeMaxLip	LipDist
1	si23	id1_part1.mat	1	small	2	3	id1_part1	I	3.291013485	3.398809462	0.107795977	89.54024678	254.052105	301.4753679	281.3095223	503.088635	1871.074218	2788.605044	1	28	f	162	r	yes	200	0.211904666	1.562941769	-0.111144325	0.231052346	1.294732229	-0.096897641	0.113465532	1.718116216	0.225134167	0.16947173	1.298701447	-0.313526976	200	51.4365	4.7374
1	si44	id1_part1.mat	1	small	4	4	id1_part1	I	6.655519862	6.756835646	0.101315784	88.9350516	258.4007525	299.7857254	284.2717222	538.0538357	1845.328369	2622.544586	1	28	f	162	r	yes	200	0.189500846	1.524397385	-0.087342222	0.234500552	1.28647777	-0.109732161	0.003542388	1.575653984	0.27481218	0.205936874	1.291901129	-0.333721228	200	50.9208	4.5763
1	si11	id1_part1.mat	1	small	1	1	id1_part1	I	9.897850065	10.00096725	0.103117187	89.77934759	287.7990083	327.0364172	310.95345	398.5879697	1876.410567	2764.833025	1	28	f	162	r	yes	200	0.215434272	1.559914725	-0.130738681	0.229475944	1.300080606	-0.124814084	0.251845455	1.756982082	0.135627526	0.130107521	1.295230996	-0.32386818	200	48.8582	4.6565
1	si35	id1_part1.mat	1	small	3	5	id1_part1	I	13.17174591	13.2745331	0.102787188	87.70116957	263.181162	303.1155219	285.4818364	527.4648855	1680.413478	2610.104201	1	28	f	162	r	yes	200	0.169764498	1.54283808	-0.080908834	0.227064444	1.289674548	-0.089150918	-0.071756281	1.712815957	0.231088233	0.181115093	1.3021342	-0.306472635	200	51.1786	4.5804
1	ma25	id1_part1.mat	1	large	2	5	id1_part1	a	16.19939907	16.31920876	0.119809691	88.81175928	216.8677817	274.8084804	251.2040889	769.4959076	1795.531966	2775.565234	1	28	f	162	r	yes	200	0.194751012	1.551840639	-0.08827887	0.231384165	1.289007692	-0.083375721	-0.044525809	1.728384123	0.221780035	0.185795417	1.299306312	-0.303099945	200	51.9521	5.2233
1	si34	id1_part1.mat	1	small	3	4	id1_part1	I	19.26242626	19.3827244	0.120298138	89.02633906	253.3002257	298.4336796	279.7184133	563.8686586	1970.903735	2833.898994	1	28	f	162	r	yes	200	0.178782624	1.523213565	-0.089138251	0.233558336	1.289095984	-0.109679397	0.02365559	1.662890292	0.239736484	0.193892905	1.287645904	-0.331794059	200	50.9208	4.6448
1	sa53	id1_part1.mat	1	small	5	3	id1_part1	a	22.38127193	22.48757872	0.106306788	88.26754533	240.9063646	276.0386301	259.9726385	781.4534923	1898.652071	2496.124629	1	28	f	162	r	yes	200	0.202248435	1.499843229	-0.082252219	0.229311642	1.283092716	-0.117364864	0.114589014	1.448557926	0.33565905	0.18071612	1.287251193	-0.338448614	200	48.6004	5.0045
1	mi35	id1_part1.mat	1	large	3	5	id1_part1	I	25.46867405	25.59739226	0.128718207	88.83980931	263.8094683	317.3773088	295.4691875	551.6460254	1862.465634	2683.66789	1	28	f	162	r	yes	200	0.161604935	1.532849972	-0.099570284	0.217434854	1.287987879	-0.103696837	-0.091390842	1.647922947	0.213143097	0.197412512	1.289843197	-0.328171438	200	48.6004	4.7264
1	mi15	id1_part1.mat	1	large	1	5	id1_part1	I	28.62567063	28.76863049	0.142959856	89.14478202	231.6086599	294.8283635	270.2839676	562.220716	1923.430813	2807.24432	1	28	f	162	r	yes	200	0.186292378	1.553964027	-0.120044457	0.22659301	1.292776656	-0.105503275	-0.039676338	1.748478893	0.136448794	0.204085452	1.289896647	-0.328375766	200	55.3039	4.8145
1	ma54	id1_part1.mat	1	large	5	4	id1_part1	a	31.24065107	31.3774111	0.136760034	88.37218673	233.9596839	259.3086215	248.1624022	810.3372334	2127.575018	2640.965663	1	28	f	162	r	yes	200	0.175276539	1.508063806	-0.093889624	0.21918611	1.283372321	-0.11578951	-0.01551324	1.457283416	0.318887804	0.189779941	1.284420788	-0.339360295	200	52.2099	5.1167
1	sa33	id1_part1.mat	1	small	3	3	id1_part1	a	33.78122765	33.91272202	0.131494373	88.69924287	223.9800107	255.5600837	238.0113029	785.3444054	1521.931828	2487.123158	1	28	f	162	r	yes	200	0.1928497	1.52966874	-0.09555456	0.231014675	1.28862702	-0.10953483	0.094544369	1.640867659	0.253343775	0.184855179	1.285872344	-0.32955883	200	50.9208	5.2546
1	mi34	id1_part1.mat	1	large	3	4	id1_part1	I	36.42291655	36.54496904	0.12205249	89.59695844	258.5839953	294.2401731	281.2237155	616.4540984	1880.641704	2960.095489	1	28	f	162	r	yes	200	0.187595469	1.531106486	-0.1079864	0.21920318	1.282800555	-0.118204285	-0.018590288	1.59577395	0.228559893	0.203184528	1.282979679	-0.341694102	200	49.6317	4.7014
1	mi13	id1_part1.mat	1	large	1	3	id1_part1	I	39.08213422	39.21789773	0.135763512	89.29686115	242.8479407	283.7474421	271.0775019	577.3422592	1870.28982	2798.604432	1	28	f	162	r	yes	200	0.20502743	1.557202886	-0.135068225	0.225042068	1.291737803	-0.119066719	0.081414762	1.746618604	0.147414578	0.185770384	1.286173479	-0.338502762	200	51.9521	4.7809
1	mi53	id1_part1.mat	1	large	5	3	id1_part1	I	41.9752937	42.09775745	0.122463747	89.89572547	251.8934396	299.4076052	279.4071735	605.9025251	1985.821771	2923.208682	1	28	f	162	r	yes	200	0.201976626	1.506333227	-0.097270388	0.230737963	1.285628649	-0.123966702	0.10934586	1.476449141	0.317844175	0.190053984	1.281999423	-0.34519933	200	49.6317	4.808
